	subject	run	disp_max_pc_in	disp_med_pc_in	disp_max_pc_out	disp_med_pc_out	disp_max_z_in	disp_med_z_in	disp_max_z_out	disp_med_z_out	max_pc_eson_in	med_pc_eson_in	max_pc_esoff_out	med_pc_esoff_out	max_z_eson_in	med_z_eson_in	max_z_esoff_out	med_z_esoff_out	max_pc_esoff_in	med_pc_esoff_in	max_pc_eson_out	med_pc_eson_out	max_z_esoff_in	med_z_esoff_in	max_z_eson_out	med_z_eson_out
3	294	1	-0.033185905322474896	-0.008746811381809327	-0.014005496542455975	-0.022188722378010506	-0.036256913009022895	0.016097010972039943	0.03909798596912761	0.06764349372813112	0.8243262713326223	0.7824256806734788	0.8562900355069235	0.7396370175753597	1.9262014765926532	-0.0536933184209893	2.094639292733579	0.025992105250560286	0.8575121766550972	0.7911724920552882	0.8422845389644675	0.7174482951973492	1.962458389601676	-0.06979032939302925	2.1337372787027067	0.0936355989786914
4	316	7	0.03512183254046053	0.036882228711583975	0.006913199173695039	0.013123818156298817	0.16597376039590084	0.01916713164355549	0.07539830520100077	-0.042236980384838786	0.8318411903254204	0.7657491984837062	0.8477103089648068	0.6829810366959242	1.9562038294337745	0.00767577033726846	1.9769112936154691	0.07709368644242554	0.7967193577849598	0.7288669697721222	0.8546235081385019	0.6961048548522231	1.7902300690378736	-0.011491361306287029	2.05230959881647	0.03485670605758675
6	335	8	0.001708086329132108	0.019888858152956823	-0.0021168726370178748	-0.009827633004136027	0.6758539195163265	-0.1635179314858588	0.030821445784370072	0.07866768005232666	0.7533923512873022	0.7126089949303729	0.7720097419960742	0.6680551641298089	2.0460795079586966	0.060240996672072125	1.8277539936719132	0.07878222066496932	0.7516842649581701	0.6927201367774161	0.7698928693590563	0.6582275311256729	1.3702255884423702	0.22375892815793094	1.8585754394562832	0.15744990071729598
8	335	1	-0.0019993827066604464	0.10508125252960121	-0.0005037276918526956	0.01895610219883015	0.37648196873130657	-0.1129023084297056	0.07410733230429267	0.04861551203347182	0.7404536274289109	0.6260351621479654	0.7641607442486069	0.6247426460097227	1.820521234214989	0.07253848789954966	2.2084208357208865	0.04047918066583421	0.7424530101355713	0.5209539096183642	0.7636570165567542	0.6436987482085529	1.4440392654836824	0.18544079632925525	2.282528168025179	0.08909469269930603
9	400	3	0.015915598342476356	0.07000586552498256	0.0028763460467315927	0.024550276446877906	0.5675127839378933	-0.10175814797463921	0.6079922331573848	-0.008383944225557745	0.7811501560255809	0.6657795076086584	0.7764974468520658	0.6791004566099039	2.341788289745967	0.08797100213075883	2.1476010634520994	0.008383944225557745	0.7652345576831046	0.5957736420836759	0.7793737928987974	0.7036507330567818	1.7742755058080737	0.18972915010539804	2.7555932966094843	0.0
10	330	5	-0.027562463224815592	0.0007324629393166138	-0.009447531504203521	-0.004838791951373933	0.214427615057031	-0.08314958330563839	-0.010749266084451037	-0.13545860211910973	0.8341996706662741	0.7490801546578814	0.8676939831586676	0.7584742735053218	1.8666174042594093	0.1084404533841752	2.091597011943699	0.1410332773040993	0.8617621338910897	0.7483476917185647	0.8582464516544641	0.7536354815539479	1.6521897892023782	0.1915900366898136	2.080847745859248	0.005574675184989569
11	330	3	-0.01702421324880765	-0.0028170494950630065	-0.0037310767942924095	0.0016950492579964616	0.40394039462086684	-0.14048535188508765	-0.3301643503258753	0.08176427461644598	0.8411850804904889	0.7808687932095661	0.8741337528207621	0.8018077786660373	2.111463827970371	0.09323358421654525	2.1404789781176845	0.02589640860261433	0.8582092937392966	0.7836858427046292	0.8704026760264697	0.8035028279240337	1.7075234333495042	0.2337189361016329	1.8103146277918092	0.1076606832190603
12	320	4	-0.0011550312861210443	-0.058043397541470476	-0.0018555362907142214	-0.0446915138286853	-0.1920751522899291	0.2809663677598291	0.46737664379638444	0.0	0.8513105404261279	0.745654049949735	0.8663173648396885	0.7344792821986916	1.0896925913076467	0.41825165126796665	2.004128377935077	0.0	0.8524655717122489	0.8036974474912055	0.8644618285489742	0.6897877683700063	1.2817677435975758	0.13728528350813757	2.4715050217314616	0.0
14	320	5	0.006619407732420868	0.006619407732420868	0.012219016522839632	0.015272583708171417	0.0	0.0	0.05875788055790543	0.028485822988834574	0.8536262738661966	0.8536262738661966	0.867411695591104	0.7071057812067937	0.0	0.0	1.7276024727513781	0.0	0.8470068661337757	0.8470068661337757	0.8796307121139436	0.7223783649149651	0.0	0.0	1.7863603533092836	0.028485822988834574
16	320	1	0.02650644758123155	0.034139871562147706	0.004358345300990107	0.007925550623335775	0.45943240715697176	-0.14819902370661603	0.36462656905272595	0.013082749521961104	0.8631733450640708	0.7732905863172903	0.8695392584527244	0.6815732870788171	2.265735674404465	0.09268112562827088	1.7264475441135942	0.011095627106056383	0.8366668974828393	0.7391507147551426	0.8738976037537145	0.6894988377021529	1.8063032672474932	0.2408801493348869	2.09107411316632	0.024178376628017487
19	302	1	0.010232808986667674	0.008789760459574358	0.009585021407029437	0.0194918408406366	-0.09410950722153233	0.03609725515106239	0.4040601691638597	0.019628383269298492	0.8225685986970421	0.7557270015983217	0.8180254174624838	0.6945928741721501	2.0911111808530047	0.05614290852491256	2.2973587235922994	0.044419408589075664	0.8123357897103745	0.7469372411387474	0.8276104388695132	0.7140847150127867	2.185220688074537	0.020045653373850166	2.701418892756159	0.06404779185837416
20	335	2	0.006235191535544304	-0.02037214527236242	0.0003294294911442286	0.003955023790343293	-0.10415034237665699	-0.07954782249502534	0.09302127581345854	-0.009816920495726536	0.7536173170870317	0.6503849136312012	0.7709073187382676	0.6294277990858128	2.1367005302599837	-0.14697121843332275	2.0561412577903746	0.08449659697657633	0.7473821255514874	0.6707570589035636	0.7712367482294118	0.6333828228761561	2.2408508726366407	-0.06742339593829741	2.149162533603833	0.07467967648084979
21	376	1	-0.001235826969755438	0.0026830623483069527	-0.003532286490596004	-0.0018925281660496784	0.07273529773298215	-0.026573079979581637	0.14469143235712467	-0.08613419990861182	0.8164104559258201	0.7822138620518231	0.8278284492998769	0.7566766352914388	0.9340908066478862	0.3914064168980529	1.9738410909439579	0.08613419990861182	0.8176462828955755	0.7795307997035161	0.8242961628092809	0.7547841071253891	0.8613555089149041	0.4179794968776345	2.1185325233010825	0.0
22	330	2	-0.0032003319902160765	-0.006071385744486069	-9.036381834648388e-05	-0.004947338153103331	-0.1335183697493414	0.07381916904932398	0.06330900057076283	-0.022257054709485115	0.8488065418303035	0.7750054459539661	0.8590694546833246	0.8021094707943222	2.0193150446772203	0.11925503129017989	1.8600351101466512	0.022257054709485115	0.8520068738205195	0.7810768316984522	0.8589790908649781	0.7971621326412188	2.1528334144265617	0.04543586224085591	1.923344110717414	0.0
23	399	8	-0.04227174665644362	0.024409146312395213	-0.007644048397760672	0.009860255920824401	0.1401988043918727	0.0264369889025462	0.18753693331664012	0.004009152755100415	0.7325589343874839	0.651857890288001	0.7777392716186265	0.67688041405354	1.9851152926148612	0.13189644588505844	2.031303967565512	0.07030067373981964	0.7748306810439275	0.6274487439756058	0.7700952232208659	0.6867406699743644	1.8449164882229885	0.10545945698251225	2.218840900882152	0.07430982649492006
