	max(PC)	median(PC)	max(z)	median(z)
0	-0.01009532586793862	-0.015852996615377375	-0.21707047095540127	-0.08401089920528153
1	-0.0096921145049439	-0.015091350412690656	-0.204388987447501	-0.08064273440949278
2	-0.009519018355957483	-0.0148964461643648	-0.20162123285343558	-0.07736810685064938
3	-0.009422491898356027	-0.014509047738349885	-0.1931061338719201	-0.07430711283249053
4	-0.009145183055568145	-0.014028885383041563	-0.19308162185135233	-0.073958930128953
5	-0.009091934996847151	-0.013889086193854996	-0.19093880067877428	-0.0732932478921769
6	-0.009025576690714009	-0.013855306089642723	-0.18603628352779816	-0.07223785388146309
7	-0.009004813678690616	-0.01381949340640861	-0.1851390633209488	-0.07157198786330972
8	-0.008866682889027082	-0.013779209134337196	-0.1844780566769839	-0.07052591397099972
9	-0.008841247326800384	-0.013625820518249017	-0.18379190841166743	-0.07023172328972144
10	-0.008753966940585226	-0.013376488724439077	-0.1806740367426246	-0.06999310498940314
11	-0.008727192333722173	-0.01333340948221524	-0.17881260862174714	-0.06815844675795542
12	-0.00871219004759618	-0.013321920408920891	-0.17612242777627962	-0.06804068450144533
13	-0.008632722438805033	-0.013180177449034672	-0.17537426568523815	-0.06595092078427454
14	-0.008603601461851535	-0.013133621798117435	-0.17185244054019472	-0.0652655684005181
15	-0.008572402385582049	-0.013094728303034032	-0.17078854028764356	-0.06494635054872386
16	-0.008555810064113049	-0.01309264631238146	-0.16933232728525305	-0.06467355758328965
17	-0.00853896259876901	-0.013070194974797458	-0.16916243843997913	-0.06462156610829638
18	-0.008520810899581422	-0.01298711156367563	-0.16797515395913412	-0.06384359044516541
19	-0.008499775552562405	-0.012960078880171443	-0.16408360933126268	-0.06343772415825566
20	-0.008492819767466336	-0.012901278496043486	-0.16386374687787564	-0.06334101058007674
21	-0.008462018681050239	-0.012848807728927693	-0.16312931982382284	-0.06303385347885883
22	-0.00844399090714509	-0.012775381981203773	-0.16273175228487133	-0.06294976394075501
23	-0.008437879149406007	-0.012737758308848601	-0.16191238994438298	-0.06291236011969563
24	-0.008429707658196957	-0.012708496436864255	-0.16163133582034217	-0.0627964501926577
25	-0.00842105270475723	-0.012692037982575096	-0.1606159411320233	-0.06221058451817675
26	-0.008375850904738996	-0.012668972981482719	-0.15936111780718115	-0.06176835461457415
27	-0.008338932576597697	-0.012632677234873754	-0.1575691602365172	-0.06154513544492691
28	-0.008242218924210946	-0.012561718725972826	-0.15705622469795663	-0.06114267045310036
29	-0.008098507679806383	-0.012544538744745823	-0.156784820722945	-0.06102273435264377
30	-0.008050928858606953	-0.012511775099656038	-0.15640295900089765	-0.06092200996663955
31	-0.00801971483650979	-0.012487204303919116	-0.15436982831854745	-0.06059001102295158
32	-0.007990458363342605	-0.012483214450432545	-0.1537687788881793	-0.06002107639914312
33	-0.007946721595856176	-0.012421893292181548	-0.15373281704744224	-0.060003976191427166
34	-0.007929510288218556	-0.012420836069781026	-0.15371732854150377	-0.05996494673051226
35	-0.007868255039208023	-0.012361411745492608	-0.15357022129756848	-0.059820044463750735
36	-0.007748116884691843	-0.012262832073946926	-0.1531343340835501	-0.05974393392708224
37	-0.007742514248234278	-0.012243347836896542	-0.15311661109226335	-0.05952007553851352
38	-0.007688227045660146	-0.012207468361699836	-0.15233919743168112	-0.05946768004419588
39	-0.007676247588082176	-0.012172770265557676	-0.1517541360470352	-0.05939472036774188
40	-0.007672404316665717	-0.012134575052441893	-0.15168612733066483	-0.05929106784760303
41	-0.0076665016708267475	-0.01211506563335617	-0.15147983133828896	-0.059216779067835505
42	-0.0076650991114646065	-0.012066222683606569	-0.1484903589698203	-0.05908247249039909
43	-0.007658354955921322	-0.012046782107202753	-0.14811552182897653	-0.059015022507153
44	-0.007658200771597767	-0.012025845519393938	-0.1472795668600237	-0.05895206790512905
45	-0.007656023597536378	-0.012000645066042676	-0.14696943383875302	-0.05889685844456484
46	-0.007597867685705799	-0.01198886279345801	-0.14683645142318502	-0.05888635716065563
47	-0.007579490487927395	-0.011987945593159216	-0.14676249894726812	-0.05864626818609873
48	-0.007552031398025024	-0.011985870736964763	-0.14583665140043706	-0.05854479338500026
49	-0.007534705338482845	-0.011977863454810509	-0.1454841978259944	-0.058432887872669155
50	-0.0075165446744349185	-0.011959505750736428	-0.1452571693674462	-0.05835592078585758
51	-0.007502864645013987	-0.01195491298019051	-0.1450203397445022	-0.05788865358389396
52	-0.007480972818699797	-0.011943511264111112	-0.14492046383409052	-0.057636508979723486
53	-0.0074499070237945934	-0.011923425414942429	-0.14425162882396214	-0.05754613833625803
54	-0.007420624881868804	-0.011740071409309952	-0.14393583617453917	-0.05752389870236915
55	-0.007413917592040981	-0.011697947460475764	-0.14363535377747497	-0.05722732956792748
56	-0.00738844751456893	-0.011693903158205218	-0.14318670943823064	-0.057155875541469246
57	-0.007386744203404882	-0.01164721263835257	-0.14316921873134417	-0.057151619431351997
58	-0.0073684857210574595	-0.011637930315917762	-0.14213582964472993	-0.05687500988942389
59	-0.007367298676104495	-0.011631540291301215	-0.1415477567618177	-0.0563549539495249
60	-0.007365829432380554	-0.01156402217879677	-0.14096813376576692	-0.05633454712648907
61	-0.007365116038987649	-0.01152497572049848	-0.1403530403562298	-0.05624857580054901
62	-0.007360102535121777	-0.011500861924892004	-0.14026020963839694	-0.05623975346420286
63	-0.007355430074754999	-0.011454368971420867	-0.13998636234493106	-0.055974764815136836
64	-0.0073218356071527435	-0.011444249515447119	-0.13977853521261227	-0.055903579041310436
65	-0.0073051362921979	-0.011413838453165154	-0.13977123539962133	-0.05587534676142632
66	-0.007291282997570857	-0.011406019196604465	-0.13965114708142368	-0.05582422011529282
67	-0.007287468637929433	-0.011354757655523046	-0.1395047167711335	-0.05568422715460343
68	-0.0072845839502391685	-0.011348956640430664	-0.13941211041838464	-0.05548630661010029
69	-0.007283011557231744	-0.011305048193244106	-0.13940249020199894	-0.05544860479903922
70	-0.007265478204550629	-0.011297343576791574	-0.1391442176428803	-0.05522850369657349
71	-0.007240001010629374	-0.011270355068927443	-0.13910483538186916	-0.055170605751045085
72	-0.007216104170832119	-0.011266532996313347	-0.13899635629120216	-0.05507052946510944
73	-0.007171503788316705	-0.011179726158040013	-0.13891788255345228	-0.05475736660746518
74	-0.007166712906103154	-0.011170370315364955	-0.13890089710092754	-0.054754210521343966
75	-0.007158383047772355	-0.011147651622396525	-0.13882781292971377	-0.05465362479068258
76	-0.007158336063896363	-0.011137517467014609	-0.13881749504385832	-0.0545856102692468
77	-0.0071517550098840225	-0.011112857734528444	-0.1382924789515055	-0.05455322231215608
78	-0.007145469733540574	-0.011100112920083994	-0.13821010723575325	-0.05451325478739069
79	-0.007134399595758529	-0.01106010678034118	-0.13811504287873216	-0.054431301086101544
80	-0.00711351929589495	-0.01104265383464182	-0.13724346505136106	-0.05434624506377433
81	-0.007111672453984411	-0.011025369156795296	-0.13664062979360436	-0.05413889878603324
82	-0.007107907366146645	-0.011020169195773886	-0.13659478775654443	-0.05405698941030704
83	-0.0070999283334067876	-0.010993532990630113	-0.1365070022984139	-0.05394192006202908
84	-0.007096491886237321	-0.010977605950714349	-0.13648793252666613	-0.053854331410084805
85	-0.007095694168680744	-0.010934507641213629	-0.1364770659732305	-0.053837801521664855
86	-0.007075976406871018	-0.010920352697301884	-0.13625756222091928	-0.05382919433997644
87	-0.007074656995275105	-0.010918245912619584	-0.13621517129413188	-0.05376003763374104
88	-0.007072505962386463	-0.01090351583352929	-0.13582086281151615	-0.05359613777856756
89	-0.007070482268906989	-0.010832595207989536	-0.13565977912068714	-0.05311779717672947
90	-0.007057086754755801	-0.010820932602791907	-0.13563343761725424	-0.0530610667656887
91	-0.00705573313440362	-0.010811668884671631	-0.13549039755829087	-0.053052763041693436
92	-0.00704282832641446	-0.010762969541011443	-0.1348845530677936	-0.053005451679133855
93	-0.0070335384728168445	-0.010748542388023594	-0.13465177828906666	-0.05284538868550221
94	-0.007014501126271094	-0.010748281199607357	-0.1345486983431834	-0.05284274657666804
95	-0.006995106316443731	-0.010737272714915785	-0.13449724244543543	-0.052824838861966976
96	-0.0069825378932054875	-0.01073685673175729	-0.13438182802472462	-0.05263411405744349
97	-0.006962281157026752	-0.010715853805540736	-0.13426924023609893	-0.052628155712194105
98	-0.0069584540316677945	-0.01069722562584307	-0.1338042760082926	-0.052572801477352674
99	-0.00694422339106412	-0.010689784995119753	-0.1337910102163936	-0.052533630714418716
100	-0.006941747271886362	-0.010660685762739874	-0.13377598336802615	-0.05235725413385532
101	-0.006936235749564698	-0.010650146944835105	-0.13367059704296957	-0.05235609392243104
102	-0.006930673153887252	-0.010642906541812354	-0.1336128095392908	-0.052208835687834805
103	-0.006915156833452868	-0.010642295160827285	-0.13350832185985959	-0.052198655702072425
104	-0.006909417243691663	-0.010641703655612594	-0.13349180745385242	-0.052092228128245356
105	-0.006909018355995896	-0.010635542376174765	-0.13334833867375853	-0.052058857001679344
106	-0.006895119468735225	-0.010589434849222265	-0.13273480608223293	-0.0520447652664872
107	-0.006892371591619042	-0.010563923475522409	-0.1326819371496965	-0.05198875427973015
108	-0.006891361222028262	-0.010561491339577631	-0.1324572461642301	-0.051984262167241196
109	-0.006890370420372643	-0.01056037644289218	-0.13234574169869337	-0.05161106395280492
110	-0.006886638319425201	-0.010558847053618566	-0.13232966365251841	-0.05153580458105409
111	-0.006882976655892661	-0.010551485000293634	-0.13203289249102243	-0.05149102457964441
112	-0.0068823458192909725	-0.01054977840349635	-0.13202320383074082	-0.05146883211523265
113	-0.006881241086534229	-0.01054965112748573	-0.13139267586072398	-0.05145408881902734
114	-0.006878371667877972	-0.01053732981964068	-0.13116774038197654	-0.05143807231522976
115	-0.0068758376047814455	-0.01053075292108517	-0.13116418983756983	-0.051359435446497056
116	-0.006854169618696466	-0.01052202047798257	-0.13074956770322624	-0.05132701126874318
117	-0.006822543838453535	-0.010516125187290011	-0.13048701484905656	-0.051323783290183805
118	-0.006821906480435985	-0.010514647291438382	-0.13045546010654857	-0.051212425091358954
119	-0.006803517137375756	-0.01050852880501553	-0.13028925957349904	-0.05121029426046415
120	-0.006802185693463346	-0.010503881541525893	-0.13002843177465953	-0.05106828078312203
121	-0.0067990537564836095	-0.01046372814645126	-0.1299303851831527	-0.0510078585972455
122	-0.006793956371307386	-0.010437564644042371	-0.12991041252677502	-0.05099045251072454
123	-0.006793447955722123	-0.010430355410100005	-0.12989119539009963	-0.05097842354354354
124	-0.00678865420634831	-0.010421377886462718	-0.1297107230622022	-0.05097472549563972
125	-0.006783485185477139	-0.010405225924498322	-0.12952740405158897	-0.0509743939591394
126	-0.006780771658047971	-0.01038214344026419	-0.12944539320101367	-0.05092652676198995
127	-0.00677475282345248	-0.010366154999554372	-0.12939196976335568	-0.050921039370933396
128	-0.006772845533419883	-0.010322259197416904	-0.1293233098073498	-0.0509051162529763
129	-0.006767579928564292	-0.010321733540798026	-0.12932289109587924	-0.05085554154751472
