	waic	p_waic	d_waic	weight	se	dse	warning	waic_scale
pc_in+pc_out	126.66475684064412	3.5519378270684143	0.0	0.8841213597429879	10.095831306835047	0.0	1	deviance
pc_in+pc_out+z_in	128.40954617108258	4.297259611795589	1.744789330438514	0.0	10.092383119575095	1.0410070911866847	1	deviance
pc_in	128.49876507166252	2.2966833469366636	1.834008231018417	0.11587864025702832	9.592190635495825	3.1354727460284657	1	deviance
pc_in+pc_out+z_out	128.65390226259584	4.3477585334289675	1.9891454219517566	0.0	10.029891960947023	0.4926977560524588	1	deviance
z_in	128.9271590758379	2.339154384947292	2.262402235193798	0.0	9.739575156932405	3.4606952588065565	1	deviance
pc_out	129.09022095282313	1.9872784591762047	2.4254641121790423	0.0	9.545463501451284	3.4998179418163318	1	deviance
pc_in+z_in	129.15702973298417	3.4470519480854525	2.4922728923400572	0.0	9.664703766220292	2.903951196249608	1	deviance
pc_in+z_out	129.37662551113604	3.355028957091553	2.711868670491951	0.0	9.551459523021276	2.7437018588392696	1	deviance
z_out	129.4108536258273	2.0810232615584843	2.7460967851831835	0.0	9.4700108671152	3.505359361881023	1	deviance
pc_in+pc_out+z_in+z_out	130.51878627290873	5.123304003710104	3.8540294322646362	0.0	10.034091308437766	1.3445723330111468	1	deviance
pc_in+z_in+z_out	131.21077473685537	4.2399780306451404	4.546017896211276	0.0	9.564359442259592	2.75337888834505	1	deviance
z_in+z_out	131.2729312904392	3.422142438224325	4.608174449795087	0.0	9.76950786504891	3.700061246987348	1	deviance
pc_out+z_in	131.32309058915018	3.751616426333793	4.658333748506076	0.0	10.257134145640746	3.7194608604956274	1	deviance
pc_out+z_out	132.79367709415132	3.6791162321242954	6.128920253507219	0.0	9.578848653501103	3.513267663055989	1	deviance
pc_out+z_in+z_out	133.1287214745097	4.4581766347783525	6.463964633865582	0.0	10.13326867346645	3.81974857499677	1	deviance
