	communities
1	14
2	49
3	2
4	2
5	2
6	2
7	18
8	2
9	2
10	2
11	2
12	33
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	0
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	0
33	0
34	0
35	51
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	17
45	0
46	0
47	0
48	0
49	0
50	0
51	2
52	2
53	0
54	0
55	0
56	0
57	2
58	0
59	0
60	2
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
70	2
71	19
72	3
73	2
74	2
75	2
76	2
77	35
78	36
79	2
80	2
81	2
82	2
83	2
84	0
85	0
86	0
87	0
88	2
89	0
90	46
91	56
92	0
93	0
94	0
95	0
96	59
97	16
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	2
106	0
107	0
108	0
109	0
110	0
111	0
112	1
113	0
115	0
116	2
118	1
124	1
125	0
127	1
128	2
129	1
130	1
131	1
132	2
134	1
135	2
136	34
137	2
138	1
139	61
140	1
141	1
142	1
143	0
144	1
145	1
146	0
147	1
148	1
149	1
150	57
152	50
153	44
154	23
155	6
156	31
157	63
158	62
159	0
160	1
161	1
162	1
163	1
164	1
165	1
166	2
167	1
168	25
169	29
170	7
171	2
172	12
173	28
174	43
175	40
176	1
177	0
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	20
186	1
187	1
188	1
189	0
190	2
191	2
192	1
193	1
194	1
195	1
196	1
197	1
198	13
199	1
200	1
201	2
202	8
203	2
204	2
205	2
206	2
207	2
208	2
209	55
210	2
211	2
212	2
213	2
214	2
215	2
216	4
217	2
218	2
219	2
220	2
221	2
222	2
223	2
224	2
225	2
226	2
227	2
228	2
229	2
230	2
231	47
232	1
233	0
234	2
235	2
236	0
237	0
238	1
239	0
240	0
241	26
242	0
243	0
244	48
245	53
246	0
247	2
248	0
249	2
250	0
251	0
252	0
253	2
254	0
255	0
256	0
257	2
258	2
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
272	1
273	1
274	1
275	2
276	2
277	2
278	2
279	2
280	2
281	1
282	2
283	2
284	1
285	1
286	2
287	1
288	2
289	0
290	0
291	0
292	0
293	39
294	1
295	0
296	1
297	0
298	0
299	0
300	0
301	0
302	27
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	2
311	0
312	0
313	1
314	0
315	0
316	0
317	0
318	0
321	1
322	60
324	1
327	0
328	1
332	1
333	2
334	2
335	2
336	1
337	1
340	0
341	1
342	11
343	1
344	24
345	10
346	1
347	45
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	2
360	54
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	15
373	1
374	5
375	1
376	42
377	1
378	52
379	37
380	1
381	32
382	1
383	1
384	38
385	1
386	1
387	1
388	1
389	1
390	1
391	1
392	2
393	1
394	2
395	1
396	1
397	1
398	41
399	1
400	1
401	2
402	0
403	9
404	3
405	1
406	1
407	1
408	1
409	1
504	22
505	1
506	0
507	0
508	0
509	21
511	1
515	0
516	1
517	0
518	0
519	30
601	0
602	58
603	0
604	0
605	0
606	0
