	communities
1	2
2	4
3	2
4	2
5	2
6	2
7	4
8	2
9	2
10	3
11	2
12	2
13	4
14	2
15	2
16	3
17	2
18	2
19	2
20	21
21	3
22	3
23	2
24	2
25	3
26	3
27	2
28	2
29	2
30	3
31	2
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	16
50	1
51	1
52	3
53	1
54	3
55	3
56	1
57	1
58	3
59	1
60	3
61	1
62	1
63	3
64	3
65	1
66	1
67	3
68	3
69	2
70	2
71	2
72	0
73	2
74	1
75	2
76	1
77	5
78	2
79	3
80	2
81	2
82	2
83	3
84	2
85	3
86	12
87	1
88	1
89	3
90	5
91	5
92	1
93	1
94	1
95	1
96	20
97	1
98	1
99	5
100	1
101	1
102	1
103	1
104	1
105	5
106	0
107	1
108	1
109	14
110	1
111	17
112	3
113	1
115	0
117	0
118	0
119	4
120	4
121	4
123	4
124	0
125	4
126	4
127	2
128	1
129	5
130	0
131	0
132	2
133	2
134	0
135	0
136	5
137	5
138	0
139	5
140	5
141	0
142	0
143	5
144	3
145	0
146	18
147	1
148	0
150	0
151	0
152	0
153	4
154	0
155	0
156	6
157	6
158	2
159	6
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	4
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	13
188	0
189	1
190	0
191	0
192	0
193	7
194	3
195	0
196	0
197	0
198	0
199	0
200	0
202	4
203	2
204	2
205	2
206	2
207	4
208	2
209	2
210	2
211	2
212	2
213	2
214	3
215	2
216	2
217	3
218	2
219	3
220	3
221	2
222	2
223	2
224	3
225	3
226	2
227	2
228	3
229	2
230	2
231	6
232	0
235	1
236	1
237	11
239	1
240	3
241	1
243	1
250	15
252	3
254	8
255	3
256	3
257	3
258	3
259	3
260	3
261	3
262	3
263	3
264	3
265	3
266	3
267	3
268	3
269	3
270	3
271	2
272	2
273	0
274	2
275	2
277	2
278	5
279	3
280	2
281	3
282	2
283	3
284	5
285	3
286	5
287	3
288	3
289	3
290	3
291	3
292	3
294	2
295	2
297	3
302	1
303	1
304	1
305	1
306	1
307	1
308	1
311	1
312	1
313	3
314	1
315	3
316	3
317	1
318	1
323	0
324	0
330	4
332	0
334	0
336	5
337	0
338	2
339	2
343	0
348	5
350	1
355	5
356	3
357	0
358	7
359	7
360	5
361	0
362	3
363	0
364	0
365	0
366	0
367	2
369	2
371	0
372	19
373	0
374	10
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	1
392	9
393	7
394	3
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	1
403	2
404	2
405	2
406	2
407	2
408	2
409	2
410	2
504	1
505	0
506	1
507	4
508	1
509	4
511	1
515	1
516	5
517	1
518	1
519	4
521	6
601	1
603	1
604	4
605	4
606	4
