index	name	abbr	color
0	Background	BG	#000000
1	AutobiographicalRecall_VisualWorkingMemory_VerbalFluency	AR	#2ea698
2	SemanticKnowledge_LexicalProcessing_AutobiographicalRecall	SK	#559720
3	DividedAttention_ActiveMaintenance_MentalArithmetic	DA1	#336693
4	Narrative_WordComprehension_LanguageProcessing	NB	#0f197e
5	DividedAttention_ActiveMaintenance_VisualObjectRecognition	DA2	#a518a2
6	VisualWorkingMemory_TaskSwitching_ActiveRetrieval	VWM	#af2c47
7	Saccades_VisualWorkingMemory_VisualLetterRecognition	SAC	#e17eb0
8	ActionObservation_VisualAttention_VisualObjectRecognition	AO	#eca108
9	LeftHandPresses_VisualAttention_FeedbackSignal	LHP	#fcda76
10	RightHandPresses_VisualNumberRecognition_DividedAttention	RHP	#7776f6
