	abbr	color	name	xyz
1		#781180	7Networks_LH_Vis_1	
2		#781181	7Networks_LH_Vis_2	
3		#781182	7Networks_LH_Vis_3	
4		#781183	7Networks_LH_Vis_4	
5		#781184	7Networks_LH_Vis_5	
6		#781185	7Networks_LH_Vis_6	
7		#781186	7Networks_LH_Vis_7	
8		#78127f	7Networks_LH_Vis_8	
9		#781280	7Networks_LH_Vis_9	
10		#781281	7Networks_LH_Vis_10	
11		#781282	7Networks_LH_Vis_11	
12		#781283	7Networks_LH_Vis_12	
13		#781284	7Networks_LH_Vis_13	
14		#781285	7Networks_LH_Vis_14	
15		#781287	7Networks_LH_Vis_15	
16		#781288	7Networks_LH_Vis_16	
17		#781289	7Networks_LH_Vis_17	
18		#78128a	7Networks_LH_Vis_18	
19		#78128b	7Networks_LH_Vis_19	
20		#78128c	7Networks_LH_Vis_20	
21		#78128d	7Networks_LH_Vis_21	
22		#781386	7Networks_LH_Vis_22	
23		#781387	7Networks_LH_Vis_23	
24		#781388	7Networks_LH_Vis_24	
25		#781389	7Networks_LH_Vis_25	
26		#78138a	7Networks_LH_Vis_26	
27		#78138b	7Networks_LH_Vis_27	
28		#78138c	7Networks_LH_Vis_28	
29		#78138d	7Networks_LH_Vis_29	
30		#781486	7Networks_LH_Vis_30	
31		#781487	7Networks_LH_Vis_31	
32		#4680b3	7Networks_LH_SomMot_1	
33		#4680b4	7Networks_LH_SomMot_2	
34		#4681ad	7Networks_LH_SomMot_3	
35		#4681ae	7Networks_LH_SomMot_4	
36		#4681af	7Networks_LH_SomMot_5	
37		#4681b0	7Networks_LH_SomMot_6	
38		#4681b1	7Networks_LH_SomMot_7	
39		#4681b2	7Networks_LH_SomMot_8	
40		#4681b3	7Networks_LH_SomMot_9	
41		#4681b4	7Networks_LH_SomMot_10	
42		#4682ad	7Networks_LH_SomMot_11	
43		#4682ae	7Networks_LH_SomMot_12	
44		#4682af	7Networks_LH_SomMot_13	
45		#4682b0	7Networks_LH_SomMot_14	
46		#4682b1	7Networks_LH_SomMot_15	
47		#4682b2	7Networks_LH_SomMot_16	
48		#4682b3	7Networks_LH_SomMot_17	
49		#4682b5	7Networks_LH_SomMot_18	
50		#4682b6	7Networks_LH_SomMot_19	
51		#4682b7	7Networks_LH_SomMot_20	
52		#4682b8	7Networks_LH_SomMot_21	
53		#4682b9	7Networks_LH_SomMot_22	
54		#4682ba	7Networks_LH_SomMot_23	
55		#4682bb	7Networks_LH_SomMot_24	
56		#4683b4	7Networks_LH_SomMot_25	
57		#4683b5	7Networks_LH_SomMot_26	
58		#4683b6	7Networks_LH_SomMot_27	
59		#4683b7	7Networks_LH_SomMot_28	
60		#4683b8	7Networks_LH_SomMot_29	
61		#4683b9	7Networks_LH_SomMot_30	
62		#4683ba	7Networks_LH_SomMot_31	
63		#4683bb	7Networks_LH_SomMot_32	
64		#4684b4	7Networks_LH_SomMot_33	
65		#4684b5	7Networks_LH_SomMot_34	
66		#4684b6	7Networks_LH_SomMot_35	
67		#4684b7	7Networks_LH_SomMot_36	
68		#4684b8	7Networks_LH_SomMot_37	
69		#007607	7Networks_LH_DorsAttn_Post_1	
70		#007608	7Networks_LH_DorsAttn_Post_2	
71		#007609	7Networks_LH_DorsAttn_Post_3	
72		#00760a	7Networks_LH_DorsAttn_Post_4	
73		#00760b	7Networks_LH_DorsAttn_Post_5	
74		#00760c	7Networks_LH_DorsAttn_Post_6	
75		#00760d	7Networks_LH_DorsAttn_Post_7	
76		#00760f	7Networks_LH_DorsAttn_Post_8	
77		#007610	7Networks_LH_DorsAttn_Post_9	
78		#007611	7Networks_LH_DorsAttn_Post_10	
79		#007612	7Networks_LH_DorsAttn_Post_11	
80		#007613	7Networks_LH_DorsAttn_Post_12	
81		#007614	7Networks_LH_DorsAttn_Post_13	
82		#007615	7Networks_LH_DorsAttn_Post_14	
83		#00770e	7Networks_LH_DorsAttn_Post_15	
84		#00770f	7Networks_LH_DorsAttn_Post_16	
85		#007710	7Networks_LH_DorsAttn_Post_17	
