	name	inmask
1	7Networks_LH_Vis_1	1
2	7Networks_LH_Vis_2	1
3	7Networks_LH_Vis_3	1
4	7Networks_LH_Vis_4	1
5	7Networks_LH_Vis_5	1
6	7Networks_LH_Vis_6	1
7	7Networks_LH_Vis_7	1
8	7Networks_LH_Vis_8	1
9	7Networks_LH_Vis_9	1
10	7Networks_LH_Vis_10	1
11	7Networks_LH_Vis_11	1
12	7Networks_LH_Vis_12	1
13	7Networks_LH_Vis_13	1
14	7Networks_LH_Vis_14	1
15	7Networks_LH_Vis_15	1
16	7Networks_LH_Vis_16	1
17	7Networks_LH_Vis_17	1
18	7Networks_LH_Vis_18	1
19	7Networks_LH_Vis_19	1
20	7Networks_LH_Vis_20	1
21	7Networks_LH_Vis_21	1
22	7Networks_LH_Vis_22	1
23	7Networks_LH_Vis_23	1
24	7Networks_LH_Vis_24	1
25	7Networks_LH_Vis_25	1
26	7Networks_LH_Vis_26	1
27	7Networks_LH_Vis_27	1
28	7Networks_LH_Vis_28	1
29	7Networks_LH_Vis_29	1
30	7Networks_LH_Vis_30	1
31	7Networks_LH_Vis_31	1
32	7Networks_LH_SomMot_1	0
33	7Networks_LH_SomMot_2	1
34	7Networks_LH_SomMot_3	1
35	7Networks_LH_SomMot_4	1
36	7Networks_LH_SomMot_5	1
37	7Networks_LH_SomMot_6	1
38	7Networks_LH_SomMot_7	1
39	7Networks_LH_SomMot_8	1
40	7Networks_LH_SomMot_9	0
41	7Networks_LH_SomMot_10	1
42	7Networks_LH_SomMot_11	0
43	7Networks_LH_SomMot_12	0
44	7Networks_LH_SomMot_13	0
45	7Networks_LH_SomMot_14	1
46	7Networks_LH_SomMot_15	0
47	7Networks_LH_SomMot_16	0
48	7Networks_LH_SomMot_17	0
49	7Networks_LH_SomMot_18	1
50	7Networks_LH_SomMot_19	0
51	7Networks_LH_SomMot_20	0
52	7Networks_LH_SomMot_21	0
53	7Networks_LH_SomMot_22	1
54	7Networks_LH_SomMot_23	1
55	7Networks_LH_SomMot_24	1
56	7Networks_LH_SomMot_25	1
57	7Networks_LH_SomMot_26	1
58	7Networks_LH_SomMot_27	1
59	7Networks_LH_SomMot_28	1
60	7Networks_LH_SomMot_29	1
61	7Networks_LH_SomMot_30	1
62	7Networks_LH_SomMot_31	1
63	7Networks_LH_SomMot_32	1
64	7Networks_LH_SomMot_33	1
65	7Networks_LH_SomMot_34	1
66	7Networks_LH_SomMot_35	1
67	7Networks_LH_SomMot_36	1
68	7Networks_LH_SomMot_37	1
69	7Networks_LH_DorsAttn_Post_1	0
70	7Networks_LH_DorsAttn_Post_2	0
71	7Networks_LH_DorsAttn_Post_3	1
72	7Networks_LH_DorsAttn_Post_4	1
73	7Networks_LH_DorsAttn_Post_5	1
74	7Networks_LH_DorsAttn_Post_6	0
75	7Networks_LH_DorsAttn_Post_7	1
76	7Networks_LH_DorsAttn_Post_8	0
77	7Networks_LH_DorsAttn_Post_9	1
78	7Networks_LH_DorsAttn_Post_10	1
79	7Networks_LH_DorsAttn_Post_11	1
80	7Networks_LH_DorsAttn_Post_12	1
81	7Networks_LH_DorsAttn_Post_13	1
82	7Networks_LH_DorsAttn_Post_14	1
83	7Networks_LH_DorsAttn_Post_15	1
84	7Networks_LH_DorsAttn_Post_16	1
85	7Networks_LH_DorsAttn_Post_17	1
86	7Networks_LH_DorsAttn_FEF_1	0
87	7Networks_LH_DorsAttn_FEF_2	1
88	7Networks_LH_DorsAttn_FEF_3	1
89	7Networks_LH_DorsAttn_FEF_4	1
90	7Networks_LH_DorsAttn_PrCv_1	1
91	7Networks_LH_DorsAttn_PrCv_2	0
92	7Networks_LH_SalVentAttn_ParOper_1	1
93	7Networks_LH_SalVentAttn_ParOper_2	0
94	7Networks_LH_SalVentAttn_ParOper_3	0
95	7Networks_LH_SalVentAttn_ParOper_4	0
96	7Networks_LH_SalVentAttn_TempOcc_1	1
97	7Networks_LH_SalVentAttn_FrOper_1	0
98	7Networks_LH_SalVentAttn_FrOper_2	1
99	7Networks_LH_SalVentAttn_FrOper_3	1
100	7Networks_LH_SalVentAttn_FrOper_4	0
101	7Networks_LH_SalVentAttn_FrOper_5	1
102	7Networks_LH_SalVentAttn_FrOper_6	1
103	7Networks_LH_SalVentAttn_FrOper_7	1
104	7Networks_LH_SalVentAttn_FrOper_8	1
105	7Networks_LH_SalVentAttn_FrOper_9	1
106	7Networks_LH_SalVentAttn_PFCl_1	1
107	7Networks_LH_SalVentAttn_Med_1	1
108	7Networks_LH_SalVentAttn_Med_2	1
109	7Networks_LH_SalVentAttn_Med_3	1
110	7Networks_LH_SalVentAttn_Med_4	1
111	7Networks_LH_SalVentAttn_Med_5	1
112	7Networks_LH_SalVentAttn_Med_6	1
113	7Networks_LH_SalVentAttn_Med_7	1
114	7Networks_LH_Limbic_OFC_1	0
115	7Networks_LH_Limbic_OFC_2	0
116	7Networks_LH_Limbic_OFC_3	1
117	7Networks_LH_Limbic_OFC_4	1
118	7Networks_LH_Limbic_OFC_5	1
119	7Networks_LH_Limbic_TempPole_1	0
120	7Networks_LH_Limbic_TempPole_2	0
121	7Networks_LH_Limbic_TempPole_3	0
122	7Networks_LH_Limbic_TempPole_4	0
123	7Networks_LH_Limbic_TempPole_5	0
124	7Networks_LH_Limbic_TempPole_6	0
125	7Networks_LH_Limbic_TempPole_7	0
126	7Networks_LH_Limbic_TempPole_8	1
127	7Networks_LH_Cont_Par_1	1
128	7Networks_LH_Cont_Par_2	0
129	7Networks_LH_Cont_Par_3	1
130	7Networks_LH_Cont_Par_4	1
131	7Networks_LH_Cont_Par_5	1
132	7Networks_LH_Cont_Par_6	1
133	7Networks_LH_Cont_Temp_1	1
134	7Networks_LH_Cont_PFCl_1	1
135	7Networks_LH_Cont_PFCl_2	1
136	7Networks_LH_Cont_PFCl_3	1
137	7Networks_LH_Cont_PFCl_4	1
138	7Networks_LH_Cont_PFCl_5	1
139	7Networks_LH_Cont_PFCl_6	0
140	7Networks_LH_Cont_PFCl_7	1
141	7Networks_LH_Cont_PFCl_8	1
142	7Networks_LH_Cont_PFCl_9	1
143	7Networks_LH_Cont_PFCv_1	1
144	7Networks_LH_Cont_pCun_1	1
145	7Networks_LH_Cont_pCun_2	1
146	7Networks_LH_Cont_Cing_1	1
147	7Networks_LH_Cont_Cing_2	1
148	7Networks_LH_Cont_PFCmp_1	1
149	7Networks_LH_Default_Temp_1	0
150	7Networks_LH_Default_Temp_2	1
151	7Networks_LH_Default_Temp_3	1
152	7Networks_LH_Default_Temp_4	0
153	7Networks_LH_Default_Temp_5	0
154	7Networks_LH_Default_Temp_6	1
155	7Networks_LH_Default_Temp_7	1
156	7Networks_LH_Default_Temp_8	1
157	7Networks_LH_Default_Temp_9	1
158	7Networks_LH_Default_Temp_10	1
159	7Networks_LH_Default_Temp_11	1
160	7Networks_LH_Default_Temp_12	1
161	7Networks_LH_Default_Temp_13	1
162	7Networks_LH_Default_Temp_14	1
163	7Networks_LH_Default_Temp_15	1
164	7Networks_LH_Default_Temp_16	1
165	7Networks_LH_Default_Temp_17	1
166	7Networks_LH_Default_PFC_1	1
167	7Networks_LH_Default_PFC_2	0
168	7Networks_LH_Default_PFC_3	1
169	7Networks_LH_Default_PFC_4	1
170	7Networks_LH_Default_PFC_5	1
171	7Networks_LH_Default_PFC_6	1
172	7Networks_LH_Default_PFC_7	1
173	7Networks_LH_Default_PFC_8	1
174	7Networks_LH_Default_PFC_9	1
175	7Networks_LH_Default_PFC_10	1
176	7Networks_LH_Default_PFC_11	1
177	7Networks_LH_Default_PFC_12	1
178	7Networks_LH_Default_PFC_13	1
179	7Networks_LH_Default_PFC_14	1
180	7Networks_LH_Default_PFC_15	1
181	7Networks_LH_Default_PFC_16	1
182	7Networks_LH_Default_PFC_17	0
183	7Networks_LH_Default_PFC_18	1
184	7Networks_LH_Default_PFC_19	1
185	7Networks_LH_Default_PFC_20	0
186	7Networks_LH_Default_PFC_21	1
187	7Networks_LH_Default_PFC_22	1
188	7Networks_LH_Default_PFC_23	1
189	7Networks_LH_Default_PFC_24	1
190	7Networks_LH_Default_PCC_1	1
191	7Networks_LH_Default_PCC_2	1
192	7Networks_LH_Default_PCC_3	1
193	7Networks_LH_Default_PCC_4	1
